Name,DisplayName,Website,LogoImage,Description,AppCategory,AppCategoryLabel,Custom,SecurePasswordStore,SAML_2_0,SAML_1_1,BookMark,BrowserPlugin,AutoLogin,BasicAuth,ImportNewUsers,ImportProfileUpdates,PushNewUsers,PushProfileUpdates,PushUserDeactivation,PushPasswordUpdates,ReactivateUsers,AutoConfirmImports,Ranking,OMM,Version
majesticseo,Majestic,https://majestic.com/,/fs/bcg/4/gfs1ge6wy2iJn7kEh1d8,Majestic surveys and maps the Internet and has created the largest commercial Link Intelligence database in the world,WEB,Web Design & Hosting,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,4bc3ae31-52b4-4aa9-9547-ca282cc28e70
naturebox,NatureBox,https://naturebox.com/,/fs/bcg/4/gfs1ecxw2glF2mnhb1d8,"Discover delicious snacks made with high-quality, simple ingredients",CONSUMER,Consumer,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,2de6d3b7-24cd-446b-99e9-1fdbf9d5a12e
freshdirect,Fresh Direct,https://www.freshdirect.com/,/fs/bcg/4/gfs1eyiukehuMlCSB1d8,Fresh Direct is on a mission to deliver quality beyond question and convenience that adds something great to your day.,CONSUMER,Consumer,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,bc6fca54-3f3f-4759-b8a8-34aa29c12bdf
eflex_employee,Eflex - Employee,https://www.eflexgroup.com/,/fs/bcg/4/gfswzhxjv4GCPVSMVRFP,"eflexgroup (eflex) is a web-based, national third-party administrator that specializes in HRAs, FSAs, HSAs, POP, COBRA Administration, and Transportation Plans",SNM,System & Network,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,d9646caa-6f4d-4460-bc26-553eafe85858
spotinst,Spotinst,https://spotinst.com/,/fs/bcg/4/gfs19sjlxvcBJsN9E1d8,"Okta's integration with Spotinst allows end-users to authenticate to one or more Spotinst accounts and gain access to specific roles using single sign-on with SAML. Manage hundreds of roles across hundreds of accounts and assign those to users. In addition, The integration supports SCIM (System for Cross-domain Identity Management) that allows the automation of user provisioning and makes user data more secure and simplifies the user experience by automating the user identity lifecycle management process.",SOFTWARE-DEV,Software Development,0,0,YES,0,0,0,0,0,YES,YES,YES,YES,YES,0,YES,0,0,0,45072cb3-49c2-4b07-ada5-1cb4ba84e0af
adaptiveplanning,Adaptive Insights (SWA),https://www.adaptiveinsights.com/,/fs/bcg/4/gfs10qarqnpRSPVOLKDG,Adaptive Insights' financial planning software helps thousands of companies improve their business financial performance.,PRODUCTIVITY,Productivity,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,81baa515-4bd3-4c48-a38a-a986e3558a20
smartdraw,SmartDraw,https://www.smartdraw.com/,/fs/bcg/4/gfs1e11d6r59HGYgZ1d8,"SmartDraw is the smartest way to draw any type of chart, diagram: flowcharts, org charts, floor plans, network diagrams, and more on any device.",PRODUCTIVITY,Productivity,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aa75aabc-ddf2-48f0-b8e1-46045a9e71fd
mangoapps,MangoApps,http://www.mangoapps.com/,/fs/bcg/4/gfsvo8i5wmWJCVMHLDDA,"MangoApps uniquely combines Enterprise Social Networking, Online Collaboration tools, Task Management and Intranet pages into one breakthrough product.",SOFTWARE-DEV,Software Development,0,0,YES,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,de0e275e-eadb-4541-a117-831f7a27ceb5
enbridge,Enbridge,https://www.enbridgegas.com,/fs/bcg/4/gfs12rzf6f5j1zciT1d8,Deliver natural gas safely and reliably,SCM,Supply Chain,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,d23dab09-01d4-49e5-b807-84b3ccf2c113
rockset,Rockset,https://rockset.com/,/fs/bcg/4/gfs1f3hl3ugOrE8DX1d8,Management Console for Rockset,DA,Data & Analysis,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50ddba06-8dc5-4bbb-952b-ba232cef2f10
corero,Corero Partner Portal,http://www.corero.com/,/fs/bcg/4/gfs12xb0chkxE1FCV1d8,"Corero Network Security, protects Hosting Providers, Internet Service Providers and the Online Enterprise against DDoS attacks",SECURITY,Security,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,d4c50d99-dde5-4dc4-a2ee-938761e3d9a2
jitbit,Jitbit,https://www.jitbit.com/,/fs/bcg/4/gfs1hikqle1PCe1oK1d8,"Jitbit Helpdesk is a great support ticketing system, offered both as a SaaS and ""on-premise"" versions at a very reasonable price. Comes with a mobile app, powerful integrations, SAML- and windows-integrated authentication.",CRM,CRM,0,0,YES,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,05e3a1a5-6e19-4ee0-8520-f2b1883c3b44
shiftplanning,Humanity,https://www.humanity.com/,/fs/bcg/4/gfs1brqjv8lGJcMng1d8,"Humanity is easy to use employee scheduling software that helps your business manage shifts, schedules, payroll, time clocking and more online.",HCM,HCM,0,0,YES,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,7b3247e6-9ea3-4f92-8d37-13869f3a6c35
jdrf,JDRF,http://jdrf.org/,/fs/bcg/4/gfszg84g57GTPDYHWPKX,JDRF is the leading global organization funding type 1 diabetes (T1D) research.,HEALTH,Health & Benefits,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0b7a624d-d740-45e7-bc6e-8026ce6bc9ec
jitterbit,Jitterbit,https://www.jitterbit.com/,/fs/bcg/4/gfs1e6bcvq1biILgN1d8,"Jitterbit API transformation combines the power of APIs and integration to connect SaaS, on-premise and cloud apps, and infuse innovation into any process",SOFTWARE-DEV,Software Development,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,13df661c-2126-4844-ac5f-ca71ad91d778
salesforce_forcecom,Salesforce (force.com),https://www.salesforce.com/,/fs/bcg/4/gfs1iolb2afT0khHL1d8,Salesforce (force.com) login,COLLABORATION,Collaboration,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,7f3712a2-bb2a-422c-98a2-d3a48615d9ea
cloudkick,CloudKick,http://www.cloudkick.com/,/img/logos/cloudkick.png,"Simple, powerful tools for managing and monitoring cloud servers.",SNM,System & Network,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,9572bc92-0712-11e4-9122-22000b078759
shoeboxed,Shoeboxed,http://www.shoeboxed.com/,/img/logos/shoeboxed.png,Shoeboxed.,CM,Content Management,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,e670b8fa-8a36-40f6-968a-b30c9ac3ab60
amazon_aws_redshift,Amazon Web Services Redshift,https://www.okta.com/aws/,/fs/bcg/4/gfs1fubi7ij8x19A11d8,Okta's integration with Amazon Web Services (AWS) Redshift allows end users to authenticate to AWS Redshift accounts using single sign-on with SAML. Once SAML SSO is configured you can use SQL client tools such a SQL Workbench/J to connect to redshift directly from the application.,SNM,System & Network,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d7d799d0-dcb5-4623-ae5c-f04fa47a6e88
adobe_cq,Adobe Experience Manager,https://www.adobe.com/ca/marketing-cloud/experience-manager,/fs/bcg/4/gfs1hp4u81xCPHjRD1d8,Adobe Experience Manager is an enterprise content management solution that helps simplify the management and delivery of your content and assets,WEB,Web Design & Hosting,0,0,YES,0,0,0,YES,0,YES,YES,YES,YES,YES,YES,YES,0,0,YES,de48e8ff-9dc5-4f50-9967-a354f72fa94a
bluehost,BlueHost,http://www.bluehost.com/,/img/logos/bluehost.png,Quality web hosting solutions to businesses and individuals.,WEB,Web Design & Hosting,0,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,ce34c46d-0e64-45f3-9122-7152efb58e72
ovio,Ovio Explore,https://explore.ovio.org/,/fs/bcg/4/gfs1gfogg69jYUHzc1d8,"Ovio revolutionizes pro-bono, skill-based volunteering for the tech industry. Okta's Ovio integration makes user access, provisioning, and management seamless. Okta allows organizations to provide access to Ovio's community of social impact projects and change-makers by automating the user creation and providing single-sign-on authentication.",APPS_FOR_GOOD,Apps For Good,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e4754d2-3de3-49e4-9a90-6a4f0c88c2be
benefit_focus,BenefitFocus,http://www.benefitfocus.com/,/fs/bcg/4/gfs12m8xgy8n19ahP1d8,"Streamline your HR processes, benefits management and administration with Benefitfocus online benefits enrollment portal",COLLABORATION,Collaboration,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3c5b5a06-996c-4566-baa4-e0022374c3fe
nextravelsaml,NexTravel SAML,https://www.nextravel.com,/fs/bcg/4/gfs1cw9f7fiUd3llT1d8,NexTravel is a platform for companies to manage and streamline travel. ,TRANSPORTATION,Travel & Transportation,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f1b2717f-162d-49b6-92f6-c3d73ff3b1f8
enplug,Enplug,https://www.enplug.com/,/fs/bcg/4/gfs1dzr69nkQaxkJW1d8,"Enplug digital signage software turns your TVs into real-time content hubs. Show social media walls, promotions, metrics dashboards, digital menus, and more!",CM,Content Management,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e0f02d6-b8d5-4d83-a2bf-24591781e895
centrelink,Centrelink,https://www.humanservices.gov.au/organisations/business/services/centrelink/centrelink-business-online-services,/fs/bcg/4/gfs1efch2o0a80uUy1d8,You can do some of your business with centrelink online at a time and place convenient for you.,FINANCE,Finance & Accounting,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,48739371-427f-41ce-a39e-aca7e485b370
acton,Act-on,https://www.actonsoftware.com,/fs/bcg/4/gfs10m3fl8dHPTKQZNDY,Act-on login,MA,Marketing,0,0,0,0,0,YES,0,0,0,0,0,0,0,0,0,0,0,0,751cbb2d-cfa9-412e-a747-dcb2205f9b9c
